frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
183,1772788249.475262,579.1992,245.7001,430.2257,72.2388,560.1375,71.6217,89.6118,71.9476,1060.6028,70.7286,687.7853
184,1772788249.607945,580.7135,247.8754,430.3157,71.6379,560.8100,74.4081,89.5831,74.5765,1053.2526,71.3145,685.9260
185,1772788249.743867,583.6663,250.3730,430.4085,71.0335,561.5287,76.7353,89.5547,76.8350,1058.5083,69.3829,686.0926
186,1772788249.875245,585.7000,252.5615,430.5037,70.4379,562.2762,78.5931,89.5271,78.6590,1052.7684,68.4899,684.6637
187,1772788250.013892,588.0906,255.2998,430.6014,69.8217,563.0986,80.2088,89.5001,80.1982,1055.2534,67.4623,684.3184
188,1772788250.147147,589.6910,258.4016,430.7068,69.1865,563.9924,81.5888,89.4742,81.4892,1057.3505,67.3801,684.1156
189,1772788250.279220,591.7848,261.5462,430.8020,68.6006,564.8044,82.6558,89.4491,82.5485,1059.1350,65.8679,683.4594
190,1772788250.415388,592.9548,264.6675,430.9030,67.9936,565.7248,83.5972,89.4258,83.4756,1059.6516,65.1461,682.7173
191,1772788250.547138,595.3006,267.8889,431.0013,67.3863,566.6761,84.3960,89.4029,84.2308,1056.3834,63.6705,681.5085
192,1772788250.683139,596.2497,271.0269,431.1016,66.7602,567.6725,85.0623,89.3813,84.8524,1056.3658,62.7770,680.6815
193,1772788250.815074,598.4075,274.5298,431.1977,66.1327,568.6913,85.5982,89.3613,85.3871,1057.8521,61.3758,680.3450
194,1772788250.951113,599.7982,278.7401,431.2935,65.5185,569.7858,86.0702,89.3427,85.8362,1055.1275,60.6412,678.6273
195,1772788251.087028,600.6132,282.3868,431.3864,64.8868,570.8786,86.4456,89.3253,86.1841,1058.0071,59.8087,678.5429
196,1772788251.219326,603.4406,286.6225,431.4754,64.2605,571.9684,86.7408,89.3097,86.4621,1053.1451,58.1341,676.4846
197,1772788251.355026,604.9329,290.6162,431.5583,63.6137,573.1091,86.9843,89.2950,86.6895,1057.1962,56.9185,676.5176
198,1772788251.487337,606.3473,295.4585,431.6406,62.9641,574.3455,87.1623,89.2823,86.8511,1051.6454,55.9912,674.2180
199,1772788251.623021,607.7643,299.5434,431.7178,62.3078,575.5793,87.2923,89.2704,86.9720,1056.8145,54.7468,674.3092
200,1772788251.755077,609.1559,304.3844,431.7840,61.6657,576.8080,87.3750,89.2609,87.0400,1058.9529,53.8407,673.1835
201,1772788251.891326,610.1989,308.3168,431.8486,61.0058,578.0751,87.4194,89.2523,87.0752,1056.4369,52.7726,672.2787
202,1772788252.027181,611.7173,313.3155,431.9052,60.3117,579.3938,87.4282,89.2451,87.0740,1057.2538,51.4856,671.4801
203,1772788252.158954,612.5984,318.9706,431.9513,59.6732,580.7058,87.4042,89.2398,87.0422,1053.5324,50.7211,669.3333
204,1772788252.294955,613.5398,323.6143,431.9921,58.9868,582.0380,87.3547,89.2359,86.9851,1059.8845,49.8799,669.0318
