frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
193,1772786601.967948,439.8233,452.1857,432.0251,54.5333,590.8367,86.6092,89.2456,86.2102,1046.0814,131.0497,619.4938
194,1772786602.103971,439.2214,455.6564,431.9911,53.7391,592.3722,86.4063,89.2535,86.0009,1050.5129,131.3635,619.3303
195,1772786602.235193,438.7008,458.3443,431.9476,52.9751,593.8281,86.1735,89.2632,85.7678,1048.4153,130.5998,619.7605
196,1772786602.370778,438.4533,461.4535,431.8929,52.1813,595.3232,85.8985,89.2747,85.4873,1050.1772,130.3298,619.6066
197,1772786602.502527,437.6012,465.3193,431.8339,51.4451,596.6848,85.5964,89.2877,85.1837,1049.6146,129.9287,619.5690
198,1772786602.638112,436.7513,468.1284,431.7621,50.6381,598.1332,85.2212,89.3027,84.8090,1047.5905,129.3127,619.4633
199,1772786602.773533,436.1670,470.2933,431.6822,49.8461,599.5322,84.7997,89.3195,84.3792,1049.7977,129.1515,620.2472
200,1772786602.905178,435.5551,473.9036,431.6043,49.1211,600.8198,84.3326,89.3378,83.9094,1049.5789,128.9377,619.6260
201,1772786603.040905,434.9007,476.8795,431.5143,48.3310,602.1182,83.7679,89.3571,83.3416,1048.8059,128.5921,619.3590
202,1772786603.172572,434.1857,479.6126,431.4224,47.5566,603.3984,83.1310,89.3784,82.7177,1051.5752,128.2098,619.7827
203,1772786603.308181,433.4423,481.9887,431.3247,46.7733,604.6183,82.3798,89.4017,81.9595,1052.5290,128.3768,619.7659
204,1772786603.440148,432.5812,484.4181,431.2256,45.9931,605.7936,81.5230,89.4256,81.1095,1047.6669,127.0215,619.9269
